;A;Ïð;Ã;Ò;Í;Ï;Ñ;Ä;Õ;À2à;Ïð12à;Ïð22à;Ñ2à;À3;Ñ3;Õ3;Ø3;À4;Ñ4;Õ4;À5;Ñ5;Õ5;À7;Â7;ÑÌ7;À8;Â8;ÑÌ8;À9;Â9;ÑÌ9
1…3;"+10
0";"+18
+12";"+13
+6";"+10
+4";"+7
+1";"+3
-3";"0
-6";"-3
-9";"-8
-18";"+14
0";"+24
+15";"+32
+18";"0
-9";"+20
0";"0
-20";"-7
-32";"-17
-50";"+60
0";"0
-60";"-30
-90";"+120
0";"0
-120";"-60
-180";"+250
0";"0
-250";"+120
-120";"+400
0";"0
-400";"+200
-200";"+600
0";"0
-600";"+300
-300"
3…6;"+13
0";"+23
+15";"+16
+8";"+13
+5";"+9
+1";"+4
-4";"0
-8";"-4
-12";"-10
-22";"+18
0";"+31
+19";"+41
+23";"0
-12";"+25
0";"0
-25";"-11
-44";"-25
-65";"+80
0";"0
-80";"-40
-120";"+160
0";"0
-160";"-80
-240";"+300
0";"0
-300";"+150
-150";"+480
0";"0
-480";"+300
-300";"+750
0";"0
-750";"+400
-400"
6…10;"+16
0";"+28
+18";"+20
+10";"+16
+6";"+12
2";"+5
-5";"0
-10";"-5
-15";"-13
-27";"+22
0";"+38
+23";"+50
+28";"0
-15";"+30
0";"0
-30";"-15
-55";"-35
-85";"+100
0";"0
-100";"-50
-150";"+200
0";"0
-200";"-100
-300";"+360
0";"0
-360";"+200
-200";"+580
0";"0
-580";"+400
-400";"+900
0";"0
-900";"+500
-500"
10…18;"+19
0";"+34
+22";"+24
+12";"+19
+7";"+14
+2";"+6
-6";"0
-12";"-6
-18";"-16
-33";"+27
0";"+46
+28";"+60
+33";"0
-18";"+35
0";"0
-35";"-20
-70";"-45
-105";"+120
0";"0
-120";"-60
-180";"+240
0";"0
-240";"-120
-360";"+430
0";"0
-430";;"+700
0";"0
-700";;"+1100
0";"0
-1100";
18…24;"+23
0";"+42
+28";"+30
+15";"+23
+8";"+17
+2";"+7
-7";"0
-14";"-8
-22";"-20
-40";"+33
0";"+56
+35";"+74
+41";"0
-21";"+45
0";"0
-45";"-25
-85";"-60
-130";"+140
0";"0
-140";"-70
-210";"+280
0";"0
-280";"-140
-420";"+520
0";"0
-520";"+300
-300";"+840
0";"0
-840";"+500
-500";"+1300
0";"0
-1300";"+600
-600"
24…30;;;;;;;;;;;;"+81
+48";;;;;;;;;;;;;;;;;;;;
30…40;"+27
0";"+52
+35";"+35
+18";"+27
+9";"+20
+3";"+8
-8";"0
-17";"-10
-27";"-25
-50";"+39
0";"+68
+43";"+99
+60";"0
-25";"+50
0";"0
-50";"-32
-100";"-75
-160";"+170
0";"0
-170";"-80
-250";"+340
0";"0
-340";"-170
-500";"+620
0";"0
-620";;"+1000
0";"0
-1000";;"+1600
0";"0
-1600";"+800
-800"
40…50;;;;;;;;;;;;"+109
+70";;;;;;;;;;;;;;;;;;;;
50…65;"+30
0";"+65
+45";"+40
+20";"+30
+10";"+23
3";"+10
-10";"0
-20";"-12
-32";"-30
-60";"+46
0";"+83
+53";"+133
+87";"0
-30";"+60
0";"0
-60";"-40
-180";"-95
-195";"+200
0";"0
-200";"-100
-300";"+400
0";"0
-400";"-200
-700";"+740
0";"0
-740";"+400
-400";"+1200
0";"0
-1200";"+600
-600";"+1900
0";"0
-1900";"+1000
-1000"
65…80;;;;;;;;;;;"+89
+59";"+148
+102";;;;;;;;;;;;;;;;;;;;
80…100;"+35
0";;"+45
+23";"+35
+12";"+26
+3";"+12
-12";"0
-23";"-15
-38";"-40
-75";"+54
0";"+106
+71";"+178
+124";"0
-35";"+70
0";"0
-70";"-50
-140";"-120
-235";"+230
0";"0
-230";"-120
-350";"+460
0";"0
-460";"-230
-700";"+870
0";"0
-870";;"+1400
0";"0
-1400";"+700
-700";"+2200
0";"0
-2200";"+1100
-1100"
100…120;;;;;;;;;;;"+114
+79";"+198
+144";;;;;;;;;;;;;;;;;;;;
120…140;"+40
0";;"+52
+25";"+40
+13";"+30
+4";"+14
-14";"0
-27";"-18
-45";"-50
-90";"+63
0";"+132
+92";"+233
+170";"0
-40";"+80
0";"0
-80";"-60
-165";"-150
-285";"+260
0";"0
-260";"-130
-400";"+530
0";"0
-530";"-260
-800";"+1000
0";"0
-1000";"+500
-500";"+1600
0";"0
-1600";"+800
-800";"+2500
0";"0
-2500";"+1200
-1200"
140…160;;;;;;;;;;;"+140
+100";"+253
+190";;;;;;;;;;;;;;;;;;;;
160…180;;;;;;;;;;;"+148
+10";"+273
+210";;;;;;;;;;;;;;;;;;;;
180…220;"+45
0";;"+60
+30";"+45
+15";"+35
+4";"+16
-16";"0
-30";"-22
-52";"-60
-105";"+73
0";"+168
+127";"+308
+286";"0
-47";"+90
0";"0
-90";"-75
-195";"-180
-330";"+300
0";"0
-300";"-150
-450";"+600
0";"0
-600";"-300
-900";"+1150
0";"0
-1150";"+500
-500";"+1900
0";"0
-1900";"+1000
-1000";"+2900
0";"0
-2900";"+1500
-1500"
220…260;;;;;;;;;;;"+186
+140";"+356
+284";;;;;;;;;;;;;;;;;;;;
260…310;"+50
0";;"+70
+35";"+50
+15";"+40
+4";"+18
-18";"0
-35";"-26
-60";"-70
-125";"+84
0";"+222
+170";"+431
+350";"0
-54";"+100
0";"0
-100";"-90
-225";"-210
-380";"+340
0";"0
-340";"-170
-500";"+680
0";"0
-680";"-340
-1000";"+1350
0";"0
-1350";"+700
-700";"+2200
0";"0
-2200";"+1100
-1100";"+3300
0";"0
-3300";"+1700
-1700"
310…360;;;;;;;;;;;"+242
+190";"+471
+390";;;;;;;;;;;;;;;;;;;;
360…440;"+60
0";;"+80
+40";"+60
+20";"+45
+5";"+20
-20";"0
-40";"-30
-70";"-80
-140";"+95
0";"+283
+220";"+557
+460";"0
-62";"+120
0";"0
-120";"-105
-253";"-250
-440";"+380
0";"0
-380";"-190
-570";"+760
0";"0
-760";"-380
-1100";"+1500
0";"0
-1500";"+800
-800";"+2500
0";"0
-2500";"+1200
-1200";"+3800
0";"0
-3800";"+2000
-2000"
440…500;;;;;;;;;;;"+315
+252";"+637
+540";;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
